Designator,Mid X,Mid Y,Rotation,Layer
C1,82.296,-66.9925,90.0,top
C10,90.551,-59.3595,180.0,top
C100,164.084,-111.379,270.0,bottom
C11,89.535,-56.8195,270.0,top
C12,91.567,-56.8195,270.0,top
C13,80.546,-71.0565,180.0,top
C14,90.833,-74.3585,0.0,top
C15,70.485,-61.4045,180.0,top
C16,107.315,-92.837,0.0,bottom
C17,105.029,-100.838,0.0,top
C18,121.793,-82.195,90.0,top
C19,119.888,-98.933,0.0,top
C2,87.744,-61.2775,180.0,top
C20,105.156,-79.248,180.0,top
C21,105.029,-99.187,0.0,top
C22,107.315,-88.011,270.0,bottom
C23,99.581,-83.947,0.0,top
C24,99.568,-85.725,0.0,top
C25,119.875,-100.584,180.0,top
C26,119.888,-102.235,180.0,top
C27,123.571,-82.169,270.0,top
C28,125.274489,-82.169,270.0,top
C29,100.203,-92.075,270.0,top
C3,83.947,-66.9925,270.0,top
C30,101.854,-92.075,270.0,top
C31,98.425,-89.027,90.0,top
C32,76.962,-54.61,0.0,top
C33,69.977,-124.473,90.0,top
C34,92.109498,-116.597999,180.0,top
C35,88.553498,-112.406999,0.0,top
C36,87.791498,-114.438999,0.0,top
C37,91.347498,-100.976999,0.0,top
C38,84.362498,-103.516999,270.0,top
C39,72.263,-108.1405,0.0,top
C4,96.774,-67.1195,90.0,top
C40,81.187498,-106.818999,270.0,top
C41,95.030498,-105.053999,270.0,top
C42,72.437,-100.7745,0.0,top
C43,98.332498,-108.215999,270.0,top
C44,103.57,-136.017,90.0,top
C45,97.855,-134.874,180.0,top
C46,113.73,-129.921,0.0,top
C47,113.857,-137.795,0.0,top
C48,108.269,-129.398,180.0,top
C49,104.521,-113.24,90.0,top
C5,60.833,-66.6115,90.0,top
C50,115.062,-114.046,90.0,top
C51,159.258,-78.486,90.0,bottom
C52,175.006,-78.359,90.0,bottom
C53,138.43,-127.381,0.0,top
C54,138.43,-100.33,0.0,top
C55,138.4442,-113.665,0.0,top
C56,164.084,-106.426,90.0,bottom
C57,164.084,-94.107,90.0,bottom
C58,169.545,-108.712,90.0,bottom
C59,169.545,-111.478,90.0,bottom
C6,62.357,-66.6115,90.0,top
C60,169.418,-98.623,90.0,bottom
C61,164.084,-99.06,270.0,bottom
C62,164.084,-108.684,270.0,bottom
C63,169.418,-93.98,270.0,bottom
C64,164.084,-97.028,90.0,bottom
C65,135.395,-64.135,0.0,top
C66,152.781,-64.135,0.0,top
C67,199.009,-90.551,90.0,top
C68,197.358,-90.564,90.0,top
C69,199.517,-80.023,90.0,top
C7,84.328,-64.4525,0.0,top
C70,203.708,-117.983,90.0,top
C71,202.057,-117.983,90.0,top
C72,188.087,-122.936,180.0,top
C73,195.961,-110.391,270.0,bottom
C74,191.996,-104.521,0.0,bottom
C75,194.31,-104.521,180.0,bottom
C76,193.449,-110.871,0.0,bottom
C77,190.091,-106.934,0.0,bottom
C78,191.262,-110.871,0.0,bottom
C79,176.403,-127.127,90.0,top
C8,74.422,-63.4365,90.0,top
C80,193.04,-114.427,90.0,top
C81,196.596,-100.711,270.0,top
C82,189.992,-104.521,0.0,bottom
C83,179.578,-124.206,90.0,top
C84,184.658,-117.475,0.0,top
C85,189.865,-115.57,0.0,top
C86,196.215,-108.839,180.0,bottom
C87,196.215,-106.172,180.0,bottom
C88,209.169,-120.396,0.0,top
C89,166.624,-68.707,0.0,top
C9,76.708,-63.4365,90.0,top
C90,166.624,-72.009,0.0,top
C91,184.15,-53.277,90.0,top
C92,175.641,-71.628,270.0,top
C93,189.484,-73.152,90.0,top
C94,107.4475,-67.564,270.0,top
C95,100.8435,-67.564,270.0,top
C96,181.102,-127.762,90.0,top
C97,187.96,-124.968,180.0,top
C98,161.811,-90.269,180.0,top
C99,161.912,-115.415,180.0,top
D1,81.441498,-128.383499,90.0,top
D2,84.362498,-128.383499,90.0,top
D3,115.5015,-53.2125,0.0,top
D4,185.293,-65.786,270.0,top
D5,188.341,-65.786,270.0,top
F1,171.817,-68.453,180.0,top
FB1,97.409,-92.837,180.0,top
FB2,188.087,-120.65,0.0,top
FB3,177.2665,-123.698,0.0,top
FB4,189.992,-117.475,0.0,top
IC1,166.878,-102.842,0.0,top
IC2,192.789,-107.724,270.0,top
J1,60.9085,-81.9015,0.0,top
J10,211.709,-109.982,90.0,top
J11,173.507,-58.549,180.0,top
J2,59.621,-59.2555,90.0,top
J3,57.081,-67.1195,270.0,top
J4,65.024,-66.8655,180.0,top
J8,124.25045,-57.5564,90.0,top
J9,207.772,-86.106,90.0,top
L1,75.565,-65.9765,0.0,top
MK1,76.614,-51.181,270.0,top
MK2,66.802,-124.981,0.0,top
Q1,84.963,-83.693,180.0,top
R1,143.51,-65.659,0.0,top
R10,66.358,-56.1975,0.0,top
R11,63.564,-58.2295,0.0,top
R12,69.469,-54.9275,270.0,top
R13,63.627,-61.5315,0.0,top
R14,97.79,-95.631,180.0,top
R15,107.315,-76.581,180.0,top
R16,107.569,-100.076,270.0,top
R17,122.936,-86.868,0.0,top
R18,110.871,-78.994,90.0,top
R19,114.808,-104.775,270.0,top
R2,77.978,-87.249,0.0,top
R20,116.586,-104.775,270.0,top
R21,79.883,-55.372,270.0,top
R22,92.329,-131.191,90.0,top
R23,70.739,-122.06,0.0,top
R24,88.299498,-124.473999,90.0,top
R25,86.267498,-124.471999,90.0,top
R26,89.315498,-124.471999,90.0,top
R27,87.283498,-124.471999,90.0,top
R28,81.441498,-124.954499,90.0,top
R29,84.362498,-124.890499,90.0,top
R3,88.9,-65.6585,270.0,bottom
R30,81.441498,-103.579999,90.0,top
R31,83.727498,-108.977999,180.0,top
R32,83.600498,-106.056999,0.0,top
R33,71.501,-106.1085,180.0,top
R34,98.078498,-105.040999,90.0,top
R35,95.665498,-110.374999,0.0,top
R36,95.792498,-107.453999,180.0,top
R37,71.548,-98.7425,180.0,top
R38,116.524,-133.858,270.0,top
R39,110.936,-136.017,90.0,top
R4,79.312,-64.7065,0.0,top
R40,110.936,-126.223,270.0,top
R41,105.475,-125.588,270.0,top
R42,142.494,-89.789,0.0,top
R43,118.0465,-58.1655,270.0,top
R44,115.2525,-58.1655,270.0,top
R45,112.4585,-58.1655,270.0,top
R46,139.065,-64.135,0.0,top
R47,156.464,-64.135,0.0,top
R48,197.866,-80.01,90.0,top
R49,199.517,-112.522,270.0,top
R5,81.788,-62.2935,90.0,top
R50,200.025,-101.6,90.0,top
R51,193.294,-121.412,270.0,top
R52,194.945,-121.412,270.0,top
R53,196.977,-115.189,90.0,top
R54,195.58,-101.092,270.0,top
R55,194.564,-99.502,270.0,top
R56,194.056,-101.026,270.0,top
R57,193.548,-99.502,270.0,top
R58,193.04,-101.026,270.0,top
R59,192.532,-99.502,270.0,top
R6,82.169,-77.6605,0.0,top
R60,192.024,-101.026,270.0,top
R61,191.008,-101.033741,270.0,top
R62,190.522697,-99.501158,270.0,top
R63,189.992,-101.092,270.0,top
R64,189.484,-99.568,270.0,top
R65,188.976,-101.092,270.0,top
R66,188.468,-99.568,270.0,top
R67,209.169,-122.174,0.0,top
R68,186.055,-103.378,0.0,top
R69,186.055,-105.918,0.0,top
R7,89.535,-83.439,270.0,top
R70,184.531,-107.95,0.0,top
R71,184.531,-108.966,0.0,top
R72,184.531,-109.982,0.0,top
R73,127.0508,-101.6,270.0,top
R74,184.531,-103.886,0.0,top
R75,184.531,-105.41,0.0,top
R76,184.531,-106.426,0.0,top
R77,186.055,-107.442,0.0,top
R78,186.055,-108.458,0.0,top
R79,186.055,-109.474,0.0,top
R8,87.884,-83.439,90.0,top
R80,186.055,-53.785,90.0,top
R81,185.293,-62.484,270.0,top
R82,188.341,-62.4585,270.0,top
R83,158.496,-98.298,180.0,top
R84,156.339,-97.409,180.0,top
R85,158.498,-96.647,180.0,top
R86,156.339,-95.758,180.0,top
R87,158.498,-94.996,180.0,top
R88,156.339,-94.234,180.0,top
R89,158.498,-93.345,180.0,top
R9,63.627,-59.8805,0.0,top
R90,156.339,-92.583,180.0,top
SW1,69.6795,-68.2625,90.0,top
SW3,137.414,-56.642,0.0,top
SW4,154.432,-56.642,0.0,top
TP1,97.409,-62.4205,270.0,top
TP10,86.521498,-99.452999,0.0,top
TP11,80.425498,-112.025999,0.0,top
TP12,80.552498,-115.581999,0.0,top
TP13,117.54,-130.175,180.0,top
TP14,117.54,-137.541,180.0,top
TP15,197.993,-119.888,0.0,top
TP16,197.993,-123.317,0.0,top
TP17,189.357,-56.388,0.0,top
TP18,192.786,-56.388,0.0,top
TP19,108.204,-58.674,180.0,top
TP2,102.743,-57.0865,270.0,top
TP20,204.47,-129.286,0.0,top
TP21,197.104,-56.388,0.0,top
TP22,72.39,-134.112,0.0,top
TP23,190.119,-129.159,0.0,top
TP3,97.409,-58.8645,270.0,top
TP4,102.743,-60.6425,270.0,top
TP5,97.409,-55.3085,270.0,top
TP6,77.089,-78.5495,0.0,top
TP7,86.614,-78.5495,0.0,top
TP8,63.627,-52.705,0.0,top
TP9,60.071,-52.705,0.0,top
U1,70.866,-83.693,90.0,top
U10,107.253,-134.112,90.0,top
U11,99.633,-129.286,90.0,top
U12,108.142,-127.112,0.0,top
U13,108.331,-113.919,0.0,top
U14,118.745,-114.046,0.0,top
U15,144.272,-122.936,90.0,top
U16,168.656,-80.075,0.0,bottom
U17,144.2212,-109.22,90.0,top
U18,153.162,-80.137,0.0,bottom
U19,144.207,-95.885,90.0,top
U2,75.692,-83.947,270.0,top
U20,198.553199,-86.368,0.0,top
U21,181.61,-71.628,180.0,top
U22,104.1455,-67.564,0.0,top
U23,184.531,-127.889,180.0,top
U3,90.297,-66.4845,0.0,top
U4,80.645,-83.947,270.0,top
U5,69.469,-58.8645,270.0,top
U6,111.887,-89.281,270.0,top
U7,86.394498,-119.137999,0.0,top
U8,58.936,-102.7295,90.0,top
U9,89.569498,-104.659999,270.0,top
X1,100.965,-89.154,90.0,top
X2,95.377,-88.773,0.0,top
Y1,81.864,-74.2315,0.0,top
Y2,113.73,-133.858,270.0,top
